case_id,mode,kind,numeric_exact_match,unit_accuracy,sign_accuracy,relative_change_accuracy,numeric_hallucination_acceptance,diagnosis
NUM-076,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-076,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-077,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-077,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-078,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-078,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-079,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-079,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-080,N0_FREE_SLM_NUMERIC_RENDER,currency,0,0,0,0,1,slm_numeric_generation_error
NUM-080,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-081,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-081,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-082,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-082,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-083,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-083,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-084,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-084,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-085,N0_FREE_SLM_NUMERIC_RENDER,integer,0,0,0,0,1,slm_numeric_generation_error
NUM-085,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-086,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-086,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-087,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-087,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-088,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-088,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-089,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-089,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-090,N0_FREE_SLM_NUMERIC_RENDER,signed_change,0,0,0,0,1,slm_numeric_generation_error
NUM-090,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-091,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-091,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-092,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-092,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-093,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-093,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-094,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-094,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-095,N0_FREE_SLM_NUMERIC_RENDER,yoy,0,0,0,0,1,slm_numeric_generation_error
NUM-095,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-096,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-096,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-097,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-097,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-098,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-098,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-099,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-099,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
